Chave;Status;Tipo Venda;CD;Fornecedor;Oferta;Indústria;Projeto Conectividade;Descr Proj/VAN;Cliente;CNPJ;UF;Código Bandeira;Descrição Bandeira;Produto;Descrição Produto;Código EAN;Tipo estratégico;Pedido Venda;Pedido OL;Nr. Nota;Data;DC. Ent;Margem;Qtd;VPF;% DC PDV Comercial;% Desc. Comercial Industria;% Desc. Financeiro Industria;% Ressarc;Vlr. Ressar. Dinheiro;Vlr. Ressar. Repos. Mercadoria;A.D.;DANFE;% Soma OL;Vlr Ressarc Desc Soma OL;% Soma OL Financ;Vlr Soma OL Financ;% Desconto Adicional;Vlr Voucher Ind;% ICMS Destino;% ICMS Origem;% Repasse;Tipo Proj;Desconto Entrada MSD;Margem MSD;PF MSD;Desconto Funcional;Ressarcimento Funcional
43856720000166-375190-7897572020177-12896207-50-1;OK;PBM;CD AM;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);R00767 - DROGARIA U;43856720000166;AM;14305;ULTRAPOPULAR FARMARCAS;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12896207;12896207;375190;2024-07-23 00:00:00;8,5;7;1;245,55;50;50;0;38,8;95,27;0;394885;13240761940292006682550010003751901954900047;0;0;0;0;0;;20;0;0;;8,5;6;239,55;50;93,304725
08645213000182-431553-7897572020290-12865723-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00286 - CATU;08645213000182;BA;14305;ULTRAPOPULAR FARMARCAS;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12865723;12865723;431553;2024-07-02 00:00:00;8,5;7;1;250,73;50;50;0;38,56;96,68;0;392763;29240761940292005520550160004315531864821414;0;0;0;0;0;;20,5;0;0;;8,5;6;243,08;50;94,67966
07322410000106-430874-7897572020177-12866526-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00636 - ATENFARMA;07322410000106;BA;15756;ABRAFAD LUCREMAIS M.BARATO;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12866526;12866526;430874;2024-07-02 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;392763;29240761940292005520550160004308741864815947;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
07322410000106-457559-7897572020177-12878692-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00636 - ATENFARMA;07322410000106;BA;15756;ABRAFAD LUCREMAIS M.BARATO;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12878692;12878692;457559;2024-07-10 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;393412;29240761940292005520550160004575591865151410;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
39346861005473-109990-7897572020290-12902931-50-3;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E02143 - CENCOSUD B;39346861005473;SE;13535;G BARBOSA;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12902931;12902931;109990;2024-07-31 00:00:00;8,5;7;3;738,24;50;50;0;39,29;290,02;0;394885;28240761940292006178550020001099901915952038;0;0;0;0;0;;19;0;0;;8,5;6;243,08;50;284,03898
08532531000137-525760-7897572020177-12903241-50-3;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00896 - JOSE SERGI;08532531000137;BA;10437;INDIVIDUAL;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12903241;12903241;525760;2024-07-31 00:00:00;8,5;7;3;741,27;50;50;0;38,56;285,82;0;394885;29240761940292005520550160005257601865926778;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;279,914175
16723045000124-452995-7897572020290-12877464-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E05074 - FCIA MAIS;16723045000124;BA;15756;ABRAFAD LUCREMAIS M.BARATO;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12877464;12877464;452995;2024-07-09 00:00:00;8,5;7;1;250,73;50;50;0;38,56;96,68;0;393412;29240761940292005520550160004529951865098833;0;0;0;0;0;;20,5;0;0;;8,5;6;243,08;50;94,67966
15629579000638-484239-7897572020177-12890008-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00047 - F S R LJ 5;15629579000638;BA;14421;MULTMAIS SILVA ROCHA;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12890008;12890008;484239;2024-07-18 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394140;29240761940292005520550160004842391865455337;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
32734865000178-99470-7897572020184-12878942-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00440 - FARMACIA S;32734865000178;SE;15056;ABRAFAD LUCREMAIS;100056;JANUMET 50 500MG C 56 COMP;7897572020184;Diabetes;0000RCV12878942;12878942;99470;2024-07-10 00:00:00;8,5;7;1;242,51;50;50;0;39,29;95,27;0;393412;28240761940292006178550020000994701915162967;0;0;0;0;0;;19;0;0;;8,5;6;239,55;50;93,304725
13058524000185-492678-7897572020184-12894535-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00462 - A.M.PASSOS;13058524000185;BA;14073;AUGEFARMA;100056;JANUMET 50 500MG C 56 COMP;7897572020184;Diabetes;0000RCV12894535;12894535;492678;2024-07-22 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394885;29240761940292005520550160004926781865542404;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
03619471000170-525874-7897572020191-12902689-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E01211 - BORGES FAR;03619471000170;BA;13148;MULTMAIS;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12902689;12902689;525874;2024-07-31 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394885;29240761940292005520550160005258741865965421;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
03619471000170-465615-7897572020290-12881528-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E01211 - BORGES FAR;03619471000170;BA;13148;MULTMAIS;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12881528;12881528;465615;2024-07-12 00:00:00;8,5;7;1;250,73;50;50;0;38,56;96,68;0;393412;29240761940292005520550160004656151865264903;0;0;0;0;0;;20,5;0;0;;8,5;6;243,08;50;94,67966
02316695000140-514980-7897572020177-12901009-50-3;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00935 - DROGARIA V;02316695000140;BA;14419;MULTMAIS REDE VELANES;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12901009;12901009;514980;2024-07-29 00:00:00;8,5;7;3;741,27;50;50;0;38,56;285,82;0;394885;29240761940292005520550160005149801865804848;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;279,914175
20184554000101-425651-7897572020191-12865288-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E05739 - A J RAMOS;20184554000101;BA;14305;ULTRAPOPULAR FARMARCAS;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12865288;12865288;425651;2024-07-01 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;392763;29240761940292005520550160004256511864757690;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
07355005000267-475822-7897572020191-12885784-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E04457 - A V G LIMA;07355005000267;BA;13148;MULTMAIS;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12885784;12885784;475822;2024-07-16 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394140;29240761940292005520550160004758221865348596;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
07355005000267-479412-7897572020191-12887574-50-2;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E04457 - A V G LIMA;07355005000267;BA;13148;MULTMAIS;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12887574;12887574;479412;2024-07-17 00:00:00;8,5;7;2;494,18;50;50;0;38,56;190,54;0;394140;29240761940292005520550160004794121865391530;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;186,60945
01651999000100-437043-7897572020177-12871345-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E01312 - PAULO ROBE;01651999000100;BA;13148;MULTMAIS;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12871345;12871345;437043;2024-07-04 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;392763;29240761940292005520550160004370431864901160;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
16052540000159-487689-7897572020184-12891335-50-3;Chave não localizada;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E01359 - PER COML D;16052540000159;BA;13150;FECOFAR REDEMED;100056;JANUMET 50 500MG C 56 COMP;7897572020184;Diabetes;0000RCV12891335;12891335;487689;2024-07-19 00:00:00;8,5;7;3;741,27;50;50;0;38,56;285,81;0;394140;29240761940292005520550160004876891865516147;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;;
